RespondentID,SouthernID,HowManySouthernStates ,Male,Age,HouseholdIncome,Education
3190851410,2,8,1,2,4,3
3190823139,0,2,,,,
3190763877,1,11,1,2,5,3
3190684926,0,1,1,2,1,2
3190455016,3,11,1,2,5,4
3190215955,0,13,1,2,1,5
3190152524,1,11,1,2,4,5
3190106104,1,11,1,2,3,2
3189832347,0,6,1,2,3,4
3189801737,2,8,1,1,4,4
3189746284,2,12,1,2,5,5
3189729230,2,7,1,1,3,4
3189520407,2,8,1,1,4,3
3189499436,2,4,1,2,1,3
3189491853,1,13,1,4,3,4
3189444326,2,10,1,2,3,2
3189443972,3,10,1,1,3,3
3189436304,2,6,1,4,1,2
3189432757,0,8,1,2,2,4
3189432688,3,6,1,2,3,3
3189409220,0,7,1,4,4,5
3189402426,1,6,1,4,4,5
3189400750,2,13,1,4,3,4
3189399595,3,5,1,2,1,4
3189391354,1,12,1,4,,5
3189382561,2,7,,,,
3189371424,0,4,1,1,1,3
3189370845,1,6,1,1,3,3
3189363897,0,3,1,1,5,4
3189359795,3,5,1,2,2,4
3189343008,2,9,1,2,3,5
3189336224,2,12,1,4,5,5
3189329662,2,11,1,4,5,5
3189324995,2,15,1,4,5,5
3189306707,1,12,1,1,3,3
3189296576,1,11,1,2,3,5
3189276814,2,10,1,2,2,3
3189254989,2,13,,,,
3189250586,1,9,,,,
3189239191,3,9,1,1,5,3
3189217755,3,11,1,4,3,2
3189206562,3,9,1,2,3,4
3189197555,0,8,1,4,2,3
3189196217,0,10,,,,
3189192421,0,11,1,2,3,5
3189177380,2,10,1,3,3,3
3189175870,3,5,1,3,2,3
3189173442,1,14,1,3,3,3
3189169477,1,11,1,3,4,5
3189144887,2,9,1,3,4,5
3189141227,3,10,1,2,5,4
3189123414,3,12,1,3,3,4
3189114695,2,9,1,3,5,4
3189112090,0,11,,,,
3189106909,2,12,1,4,5,3
3189106340,0,10,1,3,2,2
3189098709,0,6,1,4,3,5
3189091009,3,13,1,4,5,5
3189088250,1,7,1,4,3,3
3189080974,2,9,1,3,5,5
3189064949,2,9,1,2,3,5
3189061790,1,15,1,3,3,4
3189053033,2,9,1,2,3,3
3189052689,3,9,1,1,3,4
3189042658,0,6,1,2,1,5
3189042260,0,11,1,2,5,5
3189041485,0,6,,,,
3189035077,3,6,1,2,1,3
3189029297,2,15,1,3,1,3
3189024972,0,10,1,3,5,4
3189023811,2,7,1,2,3,4
3189021185,2,12,1,2,1,3
3189020927,2,11,,,,
3189018648,3,12,1,4,4,5
3189017837,3,9,1,2,3,4
3189014210,2,7,1,3,3,3
3189008499,0,5,1,4,3,4
3188994639,2,9,1,4,3,4
3188981329,3,9,1,3,3,4
3188978667,3,11,1,4,4,4
3188970550,0,13,1,4,5,5
3188964784,0,6,1,3,4,4
3188960011,3,14,1,3,3,4
3188957904,3,10,1,3,5,2
3188947434,1,12,1,4,5,5
3188946947,1,4,,,,
3188939315,1,13,1,4,2,4
3188903288,2,5,1,4,5,5
3188888888,0,6,1,4,5,4
3188884196,3,6,1,3,5,3
3188862999,3,10,1,4,5,5
3188832726,0,9,1,2,2,4
3188814818,3,10,1,4,1,4
3188790546,3,12,1,3,5,5
3188785324,2,12,1,3,5,5
3188776822,3,1,1,4,2,3
3188773275,3,9,1,1,3,4
3188772724,3,10,1,3,3,4
3188743482,3,13,1,2,3,4
3188740382,3,9,1,3,3,
3188715980,3,9,1,3,5,
3188714334,2,10,1,3,3,3
3188682376,0,6,1,3,4,5
3188681186,1,4,1,2,5,4
3188681061,1,10,1,4,4,5
3188663890,3,9,1,4,4,5
3188662870,2,10,1,4,3,4
3188657414,1,13,1,1,4,2
3188637466,0,10,1,4,5,5
3188631604,3,18,1,2,5,3
3188601011,3,6,1,1,5,3
3188598237,1,12,1,4,5,3
3188573021,2,11,1,3,3,3
3188547272,3,13,1,1,2,5
3188492698,2,8,1,3,3,5
3188486998,2,11,1,1,5,3
3188456928,0,15,1,3,4,5
3188447137,1,8,0,4,2,3
3188441918,2,9,1,1,2,5
3188440783,3,11,1,4,3,4
3188430835,1,12,1,3,4,5
